"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 18 14:19:27 GMT 2024","Sun Aug 18 14:19:29 GMT 2024","1589","","一般的なエラーのテスト","","","","ユーザーが存在しないURLにアクセスすると、エラーメッセージと商品一覧へのリンクが表示される",""
"passed","Sun Aug 18 14:19:29 GMT 2024","Sun Aug 18 14:19:31 GMT 2024","2211","","スモークテスト","","","","Webサイトを開きログインする",""
