"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 18 13:57:13 GMT 2024","Sun Aug 18 13:57:16 GMT 2024","2095","","スモークテスト","","","","Webサイトを開きログインする",""
"passed","Sun Aug 18 13:57:12 GMT 2024","Sun Aug 18 13:57:13 GMT 2024","1495","","一般的なエラーのテスト","","","","ユーザーが存在しないURLにアクセスすると、エラーメッセージと商品一覧へのリンクが表示される",""
