"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 18 14:38:57 GMT 2024","Sun Aug 18 14:39:00 GMT 2024","2414","","スモークテスト","","","","Webサイトを開きログインする",""
"passed","Sun Aug 18 14:38:56 GMT 2024","Sun Aug 18 14:38:57 GMT 2024","1810","","一般的なエラーのテスト","","","","ユーザーが存在しないURLにアクセスすると、エラーメッセージと商品一覧へのリンクが表示される",""
